rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Atlas Agena B,Samos 6,Atlas Agena B,United States Air Force,1962-03-07 22:10:31+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-2 1,Kosmos-2I 63S1,Soviet Space Program,1962-03-16 11:59:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Scout X-2,P-21A,Scout X-2,National Aeronautics and Space Administration,1962-03-29 07:27:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Kosmos-2I 63S1,1MS 1,Kosmos-2I 63S1,Soviet Space Program,1962-04-06 17:15:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Atlas Agena B,Midas 5,Atlas Agena B,United States Air Force,1962-04-09 15:04:48+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,KH-4 2,Thor DM-21 Agena-B,United States Air Force,1962-04-18 00:53:47+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena B,Ranger 4,Atlas Agena B,United States Air Force,1962-04-23 20:50:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,Sputnik 13,Kosmos-2I 63S1,Soviet Space Program,1962-04-24 04:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Saturn I,Saturn SA-2,Saturn I,National Aeronautics and Space Administration,1962-04-25 14:00:34+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok,Zenit-2 2,Vostok,Soviet Space Program,1962-04-26 10:02:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-2,SOLRAD 4B,Scout X-2,US Navy,1962-04-26 10:49:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Thor Delta,Ariel 1,Thor Delta,United States Air Force,1962-04-26 18:00:16+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Agena B,Samos-E6 1,Atlas Agena B,United States Air Force,1962-04-26 18:56:08+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,KH-4 3,Thor DM-21 Agena-B,United States Air Force,1962-04-29 00:30:12+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Trailblazer 2,Trailblazer IIb,Trailblazer 2,National Aeronautics and Space Administration,1962-05-06 05:41:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor DM-21 Ablestar,ANNA 1A,Thor DM-21 Ablestar,United States Air Force,1962-05-10 12:06:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor DM-21 Agena-B,KH-5 5,Thor DM-21 Agena-B,United States Air Force,1962-05-15 19:36:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-2M,DSAP-1 F1,Scout X-2M,United States Air Force,1962-05-24 00:00:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Atlas LV-3B,Mercury-Atlas 7,Atlas LV-3B,National Aeronautics and Space Administration,1962-05-24 12:45:16+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,Sputnik 15,Kosmos-2I 63S1,Soviet Space Program,1962-05-28 03:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Thor DM-21 Agena-B,KH-4 4,Thor DM-21 Agena-B,United States Air Force,1962-05-30 01:00:04+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 3,Vostok 8A92,Soviet Space Program,1962-06-01 09:38:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Agena-B,KH-4 5,Thor DM-21 Agena-B,United States Air Force,1962-06-02 00:31:28+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena B,Samos-E6 2,Atlas Agena B,United States Air Force,1962-06-17 18:14:18+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,P-102 Group 2-D 1,Thor DM-21 Agena-B,United States Air Force,1962-06-18 20:20:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta,Tiros 5,Thor Delta,United States Air Force,1962-06-19 12:19:01+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,KH-4 6,Thor DM-21 Agena-B,United States Air Force,1962-06-23 00:30:47+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Agena D,KH-4 7,Thor Agena D,United States Air Force,1962-06-28 01:09:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-P1 1,Kosmos-2I 63S1,Soviet Space Program,1962-06-30 16:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Thor Delta,Telstar 1,Thor Delta,United States Air Force,1962-07-10 08:35:05+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
X-15,Flight 62,North American X-15,United States Air Force,1962-07-17 17:30:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Atlas Agena B,Samos-E6 3,Atlas Agena B,United States Air Force,1962-07-18 20:51:20+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,KH-4 8,Thor DM-21 Agena-B,United States Air Force,1962-07-21 00:56:40+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena B,Mariner 1,Atlas Agena B,United States Air Force,1962-07-22 09:21:23+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor DM-21 Agena-B,KH-4 9,Thor DM-21 Agena-B,United States Air Force,1962-07-28 00:30:09+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 4,Vostok 8A92,Soviet Space Program,1962-07-28 09:18:31+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Agena D,KH-4 10,Thor Agena D,United States Air Force,1962-08-02 00:17:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena B,Samos-E6 4,Atlas Agena B,United States Air Force,1962-08-05 17:58:59+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok-K,Vostok 3,Vostok,Soviet Space Program,1962-08-11 08:30:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok-K,Vostok 4,Vostok,Soviet Space Program,1962-08-12 08:02:33+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,Sputnik 18,Kosmos-2I 63S1,Soviet Space Program,1962-08-18 15:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Scout X-2M,DSAP-1 F2,Scout X-2M,United States Air Force,1962-08-23 11:33:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Venera 2a,Molniya 8K78,Soviet Space Program,1962-08-25 02:18:45+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas Agena B,Mariner 2,Atlas Agena B,United States Air Force,1962-08-27 06:53:14+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena D,KH-4 11 & RM 3,Thor Agena D,United States Air Force,1962-08-29 01:00:36+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-3A,Reentry-2,Scout X-3A,National Aeronautics and Space Administration,1962-08-31 16:25:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Molniya 8K78,Venera 2b,Molniya 8K78,Soviet Space Program,1962-09-01 02:12:30+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Agena-B,KH-5 6,Thor DM-21 Agena-B,United States Air Force,1962-09-01 20:39:09+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Venera 2c,Molniya 8K78,Soviet Space Program,1962-09-12 00:59:13+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Agena-B,KH-4 12,Thor DM-21 Agena-B,United States Air Force,1962-09-17 23:46:18+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta,Tiros 6,Thor Delta,United States Air Force,1962-09-18 08:53:08+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 5,Vostok 8A92,Soviet Space Program,1962-09-27 09:39:51+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor DM-21 Agena-B,Alouette 1,Thor DM-21 Agena-B,United States Air Force,1962-09-29 06:05:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Agena D,KH-4 13 & RM 4,Thor Agena D,United States Air Force,1962-09-29 23:34:50+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta A,Explorer 14,Thor Delta A,United States Air Force,1962-10-02 22:11:30+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas LV-3B,Mercury-Atlas 8,Atlas LV-3B,National Aeronautics and Space Administration,1962-10-03 12:15:12+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,KH-5 7,Thor DM-21 Agena-B,United States Air Force,1962-10-09 18:35:39+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 6,Vostok 8A92,Soviet Space Program,1962-10-17 09:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena B,Ranger 5,Atlas Agena B,United States Air Force,1962-10-18 16:59:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,DS-A1 1,Kosmos-2I 63S1,Soviet Space Program,1962-10-20 04:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Molniya 8K78,Mars 1c,Molniya 8K78,Soviet Space Program,1962-10-24 17:55:04+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Kosmos-2I 63S1,1MS 2,Kosmos-2I 63S1,Soviet Space Program,1962-10-25 07:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
Thor Agena D,Star-Rad,Thor Agena D,United States Air Force,1962-10-26 16:14:39+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta A,Explorer 15,Thor Delta A,United States Air Force,1962-10-27 23:15:01+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,ANNA 1B,Thor DM-21 Ablestar,United States Air Force,1962-10-31 08:08:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Mars 1,Molniya 8K78,Soviet Space Program,1962-11-01 16:14:16+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya 8K78,Mars 2a,Molniya 8K78,Soviet Space Program,1962-11-04 15:35:15+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Agena-B,KH-4 14,Thor DM-21 Agena-B,United States Air Force,1962-11-05 22:04:32+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena B,Samos-E6 5,Atlas Agena B,United States Air Force,1962-11-11 20:17:02+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Saturn I,Saturn SA-3,Saturn I,National Aeronautics and Space Administration,1962-11-16 17:45:02+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,KH-4 15,Thor DM-21 Agena-B,United States Air Force,1962-11-24 22:00:54+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Agena D,KH-4 16,Thor Agena D,United States Air Force,1962-12-04 21:30:35+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Agena D,Poppy 3A & 3B,Thor Agena D,United States Air Force,1962-12-13 04:07:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta B,Relay 1,Thor Delta B,United States Air Force,1962-12-13 23:30:01+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena D,KH-4 17,Thor Agena D,United States Air Force,1962-12-14 21:26:07+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-3,Explorer 16,Scout X-3,National Aeronautics and Space Administration,1962-12-16 14:33:04+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Atlas Agena B,Midas 6,Atlas Agena B,United States Air Force,1962-12-17 20:36:33+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Failure
Scout X-3,Transit-5A 1,Scout X-3,United States Air Force,1962-12-19 01:25:45+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 7,Vostok 8A92,Soviet Space Program,1962-12-22 09:23:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya 8K78,Luna-4c,Molniya 8K78,Soviet Space Program,1963-01-04 08:49:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Agena D,KH-4 18,Thor Agena D,United States Air Force,1963-01-07 21:09:49+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,P-698BK Group 1-D 1,Thor DM-21 Agena-B,United States Air Force,1963-01-16 21:59:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 77,North American X-15,United States Air Force,1963-01-17 16:59:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Molniya 8K78,Luna-4d,Molniya 8K78,Soviet Space Program,1963-02-03 09:29:14+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Delta B,Syncom 1,Thor Delta B,United States Air Force,1963-02-14 05:35:08+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout X-3M,DSAP-1 F3,Scout X-3M,United States Air Force,1963-02-19 16:52:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-4 19,Thor SLV-2A Agena D,United States Air Force,1963-02-28 21:48:30+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Thor SLV-2A Agena D,KH-6 1,Thor SLV-2A Agena D,United States Air Force,1963-03-18 21:13:01+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8A92,Zenit-2 8,Vostok 8A92,Soviet Space Program,1963-03-21 08:30:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Saturn I,Saturn SA-4,Saturn I,National Aeronautics and Space Administration,1963-03-28 20:11:55+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena D,KH-4 20,Thor Agena D,United States Air Force,1963-04-01 23:01:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Luna-4,Molniya 8K78,Soviet Space Program,1963-04-02 08:16:37+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta B,Explorer 17,Thor Delta B,United States Air Force,1963-04-03 02:00:02+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout X-3,Transit-5A 2,Scout X-3,United States Air Force,1963-04-05 03:01:43+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Kosmos-2I 63S1,DS-P1 2,Kosmos-2I 63S1,Soviet Space Program,1963-04-06 03:01:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
Kosmos-2I 63S1,Omega 1,Kosmos-2I 63S1,Soviet Space Program,1963-04-13 11:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Vostok 8A92,Zenit-2 9,Vostok 8A92,Soviet Space Program,1963-04-22 08:30:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-2M,DSAP-1 F4,Scout X-2M,United States Air Force,1963-04-26 00:00:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Thor Agena D,KH-5 8,Thor Agena D,United States Air Force,1963-04-26 20:12:57+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8A92,Zenit-2 10,Vostok 8A92,Soviet Space Program,1963-04-28 08:49:56+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta B,Telstar 2,Thor Delta B,United States Air Force,1963-05-07 11:38:03+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Agena B,Midas 7,Atlas Agena B,United States Air Force,1963-05-09 20:06:16+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas LV-3B,Mercury-Atlas 9,Atlas LV-3B,National Aeronautics and Space Administration,1963-05-15 13:04:13+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-6 2,Thor SLV-2A Agena D,United States Air Force,1963-05-18 22:21:36+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-A1 2,Kosmos-2I 63S1,Soviet Space Program,1963-05-22 03:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Vostok 8A92,Zenit-2 11,Vostok 8A92,Soviet Space Program,1963-05-24 10:34:06+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-MT 1,Kosmos-2I 63S1,Soviet Space Program,1963-06-01 02:50:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
Atlas Agena B,Midas 8,Atlas Agena B,United States Air Force,1963-06-12 00:00:00+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Failure
Thor SLV-2A Agena D,KH-4 21,Thor SLV-2A Agena D,United States Air Force,1963-06-12 23:58:38+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok-K,Vostok 5,Vostok,Soviet Space Program,1963-06-14 11:58:58+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Agena D,Poppy 4A & 4B,Thor Agena D,United States Air Force,1963-06-15 14:29:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure
Scout X-3,Transit-5A 3,Scout X-3,United States Air Force,1963-06-16 01:49:52+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Vostok-K,Vostok 6,Vostok,Soviet Space Program,1963-06-16 09:29:52+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta B,Tiros 7,Thor Delta B,United States Air Force,1963-06-19 09:50:01+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4 22,Thor SLV-2A Agena D,United States Air Force,1963-06-27 00:37:26+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 87,North American X-15,United States Air Force,1963-06-27 17:56:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Scout X-4,GRS,Scout X-4,United States Air Force,1963-06-28 21:19:22+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor SLV-2A Agena B,P-698BK Group 1-D 2,Thor SLV-2A Agena B,United States Air Force,1963-06-29 22:30:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,KH-7 1,Atlas Agena D,United States Air Force,1963-07-12 20:45:59+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Agena D,KH-4 23,Thor Agena D,United States Air Force,1963-07-19 00:00:10+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena B,Midas 9,Atlas Agena B,United States Air Force,1963-07-19 03:51:18+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 90,North American X-15,United States Air Force,1963-07-19 18:20:05+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Thor Delta B,Syncom 2,Thor Delta B,United States Air Force,1963-07-26 14:33:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Blue Scout Jr,OAR 22-1,Blue Scout Jr,United States Air Force,1963-07-30 16:16:08+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-6 3,Thor SLV-2A Agena D,United States Air Force,1963-07-31 00:00:26+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-P1 3,Kosmos-2I 63S1,Soviet Space Program,1963-08-06 06:07:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Kosmos-2I 63S1,DS-A1 3,Kosmos-2I 63S1,Soviet Space Program,1963-08-22 06:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
X-15,Flight 91,North American X-15,United States Air Force,1963-08-22 18:05:57+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Thor SLV-2A Agena D,KH-4A 1,Thor SLV-2A Agena D,United States Air Force,1963-08-25 00:29:58+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe II,QTV,Little Joe II,National Aeronautics and Space Administration,1963-08-28 16:00:02+00:00,Launch Complex 36,White Sands Missile Range,Launch Successful
Thor SLV-2 Agena D,KH-5 9,Thor SLV-2 Agena D,United States Air Force,1963-08-29 20:31:04+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,KH-7 2,Atlas Agena D,United States Air Force,1963-09-06 19:30:18+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 2,Thor SLV-2A Agena D,United States Air Force,1963-09-23 23:00:00+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-2B,DSAP-1 F5,Scout X-2B,United States Air Force,1963-09-27 11:17:49+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Thor DM-21 Ablestar,Transit 5BN-1,Thor DM-21 Ablestar,United States Air Force,1963-09-28 20:22:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,Vela 1A & 1B,Atlas Agena D,United States Air Force,1963-10-17 02:37:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 13,Vostok 8A92,Soviet Space Program,1963-10-18 09:29:58+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-A1 4,Kosmos-2I 63S1,Soviet Space Program,1963-10-24 04:30:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
Atlas Agena D,KH-7 3,Atlas Agena D,United States Air Force,1963-10-25 18:59:27+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-5 10,Thor SLV-2A Agena D,United States Air Force,1963-10-29 21:19:04+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Sputnik 11A59,Polyot,Sputnik 11A59,Soviet Space Program,1963-11-01 08:56:38+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2 Agena D,KH-4 24 & RM 5,Thor SLV-2 Agena D,United States Air Force,1963-11-09 20:27:54+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Failure
Molniya 8K78,Zond-1a,Molniya 8K78,Soviet Space Program,1963-11-11 06:23:35+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Voskhod,Zenit-4 1,Voskhod,Soviet Space Program,1963-11-16 10:34:25+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta C,Explorer 18,Thor Delta C,United States Air Force,1963-11-27 02:30:01+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Centaur,AC-2 Instrumentation Ring,Atlas Centaur,United States Air Force,1963-11-27 19:03:23+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2 Agena D,KH-4 25,Thor SLV-2 Agena D,United States Air Force,1963-11-27 21:15:40+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 14,Vostok 8A92,Soviet Space Program,1963-11-28 09:19:59+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Ablestar,Transit-5BN 2,Thor DM-21 Ablestar,United States Air Force,1963-12-05 21:51:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,Omega 2,Kosmos-2I 63S1,Soviet Space Program,1963-12-13 14:15:24+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Atlas Agena D,KH-7 4,Atlas Agena D,United States Air Force,1963-12-18 21:45:30+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 15,Vostok 8A92,Soviet Space Program,1963-12-19 09:28:58+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-4,Explorer 19,Scout X-4,National Aeronautics and Space Administration,1963-12-19 18:49:25+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta B,Tiros 8,Thor Delta B,United States Air Force,1963-12-21 09:30:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4 26,Thor SLV-2A Agena D,United States Air Force,1963-12-21 21:45:42+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,"Poppy 5A, 5B & 5C",Thor SLV-2A Agena D,United States Air Force,1964-01-11 20:07:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2 Agena D,DSAP-1 F6 & F7,Thor SLV-2 Agena D,United States Air Force,1964-01-19 10:59:54+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
